time,NYE05.wind_speed_100m,NYE05.wave_height,RUWRF.wind_speed_100m,RUWRF.wind_dir_100m,NOAA.wave_height,NOAA.wave_dir,NOAA.wind_speed_10m,NOAA.wind_dir_10m
2019-08-12 00:00:00+00:00,7.9934666666666665,0.52,6.988078980234341,234.92009475577717,0.78,127.98,7.37,228.14
2019-08-12 01:00:00+00:00,7.987916666666666,0.58,8.442663000870299,233.8561651698061,0.79,127.92,7.43,229.47
2019-08-12 02:00:00+00:00,7.882183333333334,0.59,8.737275459081125,237.66717345118457,0.8,127.87,7.49,230.79
2019-08-12 03:00:00+00:00,7.060533333333333,0.65,8.174060721568,240.0564201495184,0.81,127.81,7.55,232.12
2019-08-12 04:00:00+00:00,5.254033333333334,0.61,7.8529260334658515,239.56542573272927,0.81,127.74,7.1,230.89
2019-08-12 05:00:00+00:00,4.805283333333334,0.52,7.642200563476853,240.762659730007,0.82,127.68,6.65,229.66
2019-08-12 06:00:00+00:00,4.483383333333333,0.51,6.78585096647887,239.6253795082701,0.82,127.61,6.2,228.43
2019-08-12 07:00:00+00:00,4.892683333333333,0.54,6.27987928292213,243.23864583041697,0.81,127.54,5.72,245.49
2019-08-12 08:00:00+00:00,5.28955,0.59,5.951082009282832,246.2556499819306,0.81,127.46,5.24,262.54
2019-08-12 09:00:00+00:00,6.680433333333333,0.57,5.207345197093925,255.5993493803743,0.8,127.39,4.76,279.6
2019-08-12 10:00:00+00:00,6.813549999999999,0.58,4.668495618648334,282.28159706475566,0.79,127.33,4.82,278.34
2019-08-12 11:00:00+00:00,6.712766666666667,0.58,4.404752557592264,271.2653661748597,0.77,127.27,4.89,277.09
2019-08-12 12:00:00+00:00,6.854016666666666,0.61,4.3592049955634655,260.8205912796913,0.76,127.21,4.95,275.83
2019-08-12 13:00:00+00:00,6.949816666666667,0.61,4.680920179468534,250.6110626881016,0.75,127.16,4.99,269.94
2019-08-12 14:00:00+00:00,6.760816666666667,0.59,4.8786006820722525,251.11273779779486,0.74,127.12,5.03,264.04
2019-08-12 15:00:00+00:00,5.87465,0.63,4.820066699086837,248.02378461977943,0.73,127.07,5.07,258.15
2019-08-12 16:00:00+00:00,5.7821,0.58,4.950191807867975,247.82822894387616,0.74,127.04,5.35,249.0
2019-08-12 17:00:00+00:00,5.6982333333333335,0.57,6.022276939557001,240.17836611894145,0.74,127.0,5.64,239.84
2019-08-12 18:00:00+00:00,6.2756500000000015,0.52,6.151355851280402,235.15105405036167,0.75,126.97,5.92,230.69
2019-08-12 19:00:00+00:00,7.677700000000001,0.55,6.747029327148804,226.9477177440496,0.79,129.95,6.72,223.76
2019-08-12 20:00:00+00:00,8.461266666666667,0.55,7.67564671370422,222.81808653913345,0.82,132.92,7.53,216.82
2019-08-12 21:00:00+00:00,9.2503,0.63,8.090089261907565,219.20373483929177,0.86,135.9,8.33,209.89
2019-08-12 22:00:00+00:00,9.850166666666668,0.73,8.660532023975891,212.0053149925444,0.88,141.85,8.13,207.98
2019-08-12 23:00:00+00:00,9.564316666666667,0.77,9.20777058860502,207.64627374828478,0.9,147.8,7.92,206.07
2019-08-13 00:00:00+00:00,8.845116666666668,0.83,9.496383611418198,205.56203010096146,0.92,153.75,7.72,204.16
2019-08-13 01:00:00+00:00,9.445166666666667,0.85,9.68894701043818,213.25811012148404,0.95,161.23,7.89,208.72
2019-08-13 02:00:00+00:00,9.836183333333334,0.86,9.884335171197193,214.20904015660977,0.99,168.71,8.07,213.27
2019-08-13 03:00:00+00:00,10.381416666666667,0.91,10.147471467536944,219.9671418331441,1.02,176.19,8.24,217.83
2019-08-13 04:00:00+00:00,10.628566666666666,0.97,10.022611527727019,222.74075739587474,1.04,181.39,8.46,218.96
2019-08-13 05:00:00+00:00,11.527466666666667,0.99,10.251930887890266,223.03988217739072,1.07,186.6,8.67,220.09
2019-08-13 06:00:00+00:00,11.506633333333333,0.96,10.924301836423144,224.76799401153545,1.09,191.8,8.89,221.22
2019-08-13 07:00:00+00:00,10.9246,1.03,10.921599606662,230.18400607428345,1.12,199.89,9.12,223.51
2019-08-13 08:00:00+00:00,10.879033333333334,0.95,11.13719979243124,229.6170582056335,1.15,207.99,9.35,225.79
2019-08-13 09:00:00+00:00,11.710650000000001,0.92,11.720891889408472,227.77075743023983,1.18,216.08,9.58,228.08
2019-08-13 10:00:00+00:00,12.75365,1.01,12.1622056434776,226.2238468788534,1.2,219.69,9.35,228.91
2019-08-13 11:00:00+00:00,12.20155,1.07,12.7253375346386,224.55491073118515,1.23,223.3,9.13,229.73
2019-08-13 12:00:00+00:00,12.059666666666667,1.15,12.609253819417276,227.5886906457436,1.25,226.91,8.9,230.56
2019-08-13 13:00:00+00:00,13.428416666666665,1.26,12.50501331614693,226.5958281908749,1.26,226.29,8.78,230.35
2019-08-13 14:00:00+00:00,14.232016666666667,1.38,12.511521259663446,222.70915692704418,1.26,225.67,8.66,230.15
2019-08-13 15:00:00+00:00,13.686483333333333,1.45,12.990017146426938,218.88450815794602,1.27,225.05,8.54,229.94
2019-08-13 16:00:00+00:00,13.164033333333334,1.47,12.974802739396264,221.0416636842921,1.28,223.69,8.51,227.53
2019-08-13 17:00:00+00:00,10.928666666666667,1.37,10.928693774029368,227.93592023803268,1.3,222.33,8.48,225.11
2019-08-13 18:00:00+00:00,10.133766666666666,1.29,12.336948322919365,215.00588017423092,1.31,220.97,8.45,222.7
2019-08-13 19:00:00+00:00,13.599716666666666,1.34,13.657667939182465,202.7909643814652,1.34,219.85,9.05,220.08
2019-08-13 20:00:00+00:00,8.567483333333334,1.38,14.098212724580044,200.64158355207516,1.37,218.73,9.64,217.47
2019-08-13 21:00:00+00:00,9.683283333333334,1.33,14.076509882061243,194.76255645494496,1.4,217.61,10.24,214.85
2019-08-13 22:00:00+00:00,8.6194,1.31,13.4078500578807,200.96403584308655,1.39,214.97,9.48,208.5
2019-08-13 23:00:00+00:00,8.105166666666667,1.33,8.742373756097308,199.87701547824418,1.38,212.32,8.71,202.16
2019-08-14 00:00:00+00:00,6.374833333333332,1.19,9.47291703192245,200.52588717004937,1.37,209.68,7.95,195.81
2019-08-14 01:00:00+00:00,5.453266666666667,1.2,9.867630318658321,194.73470165096558,1.36,209.61,7.19,207.29
2019-08-14 02:00:00+00:00,4.356916666666667,1.15,8.996678166015444,189.56795703215968,1.34,209.55,6.44,218.77
2019-08-14 03:00:00+00:00,5.355016666666667,1.01,8.313875679016066,221.94962011352436,1.33,209.48,5.68,230.25
2019-08-14 04:00:00+00:00,4.795766666666666,0.99,7.746661888757727,237.61211777560243,1.3,208.75,4.63,234.59
2019-08-14 05:00:00+00:00,3.504233333333333,0.93,7.546981698118984,246.2193109374361,1.26,208.02,3.57,238.92
2019-08-14 06:00:00+00:00,3.0689333333333337,0.96,7.296690024309051,247.0902831839307,1.23,207.29,2.52,243.26
2019-08-14 07:00:00+00:00,1.75495,1.06,6.1604890143564495,261.4690170751358,1.2,205.41,2.85,277.89
2019-08-14 08:00:00+00:00,1.6663333333333334,1.11,4.4825418804790536,291.7235654477326,1.16,203.54,3.18,312.51
2019-08-14 09:00:00+00:00,2.3207166666666668,1.03,3.0398795003562364,309.8496231397802,1.13,201.66,3.51,347.14
2019-08-14 10:00:00+00:00,1.9798666666666669,0.95,3.8981432756956713,339.3949561162012,1.11,198.92,3.85,2.2
2019-08-14 11:00:00+00:00,2.8128000000000006,0.86,5.222571245439825,1.5278348542526032,1.1,196.18,4.19,17.27
2019-08-14 12:00:00+00:00,3.6063999999999994,0.85,6.192083748032662,29.086757244709702,1.08,193.44,4.53,32.33
2019-08-14 13:00:00+00:00,3.8484833333333337,0.82,5.500082113881936,39.60328316944572,1.09,189.67,5.08,37.92
2019-08-14 14:00:00+00:00,4.2636,0.79,4.916304520637191,63.66830637648263,1.1,185.89,5.63,43.51
2019-08-14 15:00:00+00:00,4.8249666666666675,0.87,5.110476047482212,57.93906873759102,1.11,182.12,6.18,49.1
2019-08-14 16:00:00+00:00,5.6713,0.98,5.7749258329282975,66.49479986210326,1.12,177.73,6.24,50.82
2019-08-14 17:00:00+00:00,5.518133333333332,0.91,5.5408640427604166,60.15856215118186,1.14,173.34,6.29,52.55
2019-08-14 18:00:00+00:00,5.2942833333333335,0.95,5.8553046754168045,71.68073779513395,1.15,168.95,6.35,54.27
2019-08-14 19:00:00+00:00,5.9500166666666665,0.98,3.8724801311954713,67.49134638117698,1.15,168.95,6.09,57.2
2019-08-14 20:00:00+00:00,5.3546499999999995,0.96,4.7237238638574555,80.66082590559007,1.16,168.95,5.83,60.12
2019-08-14 21:00:00+00:00,4.984566666666667,1.0,6.013459103270555,79.33562908028443,1.16,168.95,5.57,63.05
2019-08-14 22:00:00+00:00,6.11715,0.96,6.618451981483347,66.27248085633096,1.15,170.64,5.05,60.54
2019-08-14 23:00:00+00:00,5.754549999999999,0.92,7.712094937552584,72.0781994153793,1.13,172.32,4.52,58.03
2019-08-15 00:00:00+00:00,6.666416666666667,0.99,7.734457187291688,89.72980496747755,1.12,174.01,4.0,55.52
2019-08-15 01:00:00+00:00,7.000366666666667,0.96,5.291819060139809,60.64224139493888,1.11,175.23,4.68,56.26
2019-08-15 02:00:00+00:00,6.8306499999999994,1.01,5.497740876657102,59.01122683221218,1.11,176.46,5.36,57.01
2019-08-15 03:00:00+00:00,7.37545,0.92,6.17866600813077,55.95774416447193,1.1,177.68,6.04,57.75
2019-08-15 04:00:00+00:00,6.337783333333334,0.95,6.6821973150972775,70.8575567661744,1.09,177.7,6.0,62.47
2019-08-15 05:00:00+00:00,7.022566666666667,0.94,6.61846024886326,70.29370473495464,1.08,177.72,5.96,67.2
2019-08-15 06:00:00+00:00,6.240716666666667,1.02,5.873616221386605,70.67702215504715,1.07,177.74,5.92,71.92
2019-08-15 07:00:00+00:00,6.2746666666666675,0.96,5.984703848980068,63.62115496081759,1.06,176.91,5.92,65.29
2019-08-15 08:00:00+00:00,7.1173,0.99,5.340558155693444,64.61081773738567,1.06,176.07,5.92,58.67
2019-08-15 09:00:00+00:00,7.644416666666667,0.93,5.293032025272974,51.88500299676491,1.05,175.24,5.92,52.04
2019-08-15 10:00:00+00:00,8.113816666666667,1.0,5.824448194622053,39.5455285804635,1.07,172.47,6.28,53.81
2019-08-15 11:00:00+00:00,9.1331,1.0,5.352796514248422,41.45337864531496,1.09,169.71,6.63,55.57
2019-08-15 12:00:00+00:00,8.872233333333334,1.08,6.291806999503915,45.59111244038206,1.11,166.94,6.99,57.34
2019-08-15 13:00:00+00:00,8.387166666666667,1.12,7.394975684493122,46.40754232351196,1.14,163.55,6.99,60.37
2019-08-15 14:00:00+00:00,8.43765,1.05,7.195087957283437,49.37741066578178,1.16,160.16,6.99,63.39
2019-08-15 15:00:00+00:00,9.221933333333332,1.08,7.706518281448979,53.53272258359084,1.19,156.77,6.99,66.42
